F3,F3_pos,FC5,FC5_pos,AF3,AF3_pos,F7,F7_pos,T7,T7_pos,P7,P7_pos,O1,O1_pos,O2,O2_pos,P8,P8_pos,T8,T8_pos,F8,F8_pos,AF4,AF4_pos,FC6,FC6_pos,F4,F4_pos,Direction
0.22,0,84.44,45,24.83,45,4.06,5,13.22,0,2.00,11,12.00,0,8.72,44,19.44,45,14.33,45,14.44,5,29.50,24,10.94,45,20.44,45,forward
33.33,20,29.00,20,31.28,46,44.33,46,29.61,18,37.89,20,21.17,46,31.67,16,21.00,44,47.56,44,38.33,46,55.50,46,24.89,46,30.72,45,forward
91.94,46,58.94,42,117.94,36,56.94,37,304.78,46,46.28,35,91.22,38,73.61,41,78.33,43,112.61,46,119.89,46,128.06,43,119.39,44,98.78,36,left
21.06,2,24.83,2,82.11,15,41.67,10,17.89,0,8.50,0,23.39,34,33.56,45,32.17,36,11.89,36,116.44,10,79.56,10,51.28,10,26.50,9,right
40.72,38,9.67,38,-3.94,13,-18.39,18,45.22,33,19.39,32,26.00,7,30.06,4,31.44,4,10.78,6,8.22,5,10.61,17,5.28,6,18.39,18,stop
20.39,20,57.67,46,29.33,20,93.61,21,25.33,45,-15.61,0,33.67,29,39.11,29,19.39,20,23.22,13,20.22,13,29.50,0,33.50,13,35.44,20,left
37.94,29,16.17,20,47.33,29,107.94,29,18.33,0,39.06,32,39.72,33,84.89,26,34.56,25,103.28,28,58.17,18,44.56,29,43.67,29,44.39,28,stop
4.89,26,11.06,26,14.00,46,110.28,46,40.72,30,9.61,17,16.72,27,30.06,16,31.83,46,15.22,25,21.67,38,24.11,29,30.06,25,12.11,26,stop
10.17,8,9.89,0,22.33,7,48.89,38,40.17,44,15.56,3,37.00,3,33.61,4,34.00,35,32.06,36,16.78,8,22.56,0,33.89,36,24.28,36,right
41.89,43,42.39,30,43.11,36,62.00,38,29.39,11,16.39,0,36.50,44,34.28,44,22.78,35,44.06,35,71.89,30,58.44,39,45.50,30,40.72,39,right
43.50,15,16.78,38,33.39,3,-4.94,1,50.61,39,33.50,24,20.39,1,32.72,15,47.39,13,34.33,13,36.78,15,71.89,14,45.17,13,34.00,15,right
37.89,28,19.89,38,40.33,27,36.61,8,9.67,0,-28.83,0,15.22,33,40.06,23,0.00,23,42.78,28,5.22,8,60.11,27,18.00,9,30.39,8,left
42.44,32,11.67,17,53.17,17,5.72,33,-2.06,37,19.89,17,37.11,46,33.17,46,48.89,13,40.39,17,64.94,17,49.22,32,52.56,17,44.56,36,right
25.17,24,39.83,37,34.39,27,17.50,26,22.00,46,-8.28,7,15.00,30,24.61,8,14.39,7,29.56,24,67.39,26,30.00,26,54.83,26,43.33,26,stop
26.50,14,-10.22,1,54.06,15,9.67,14,3.94,35,6.39,14,32.50,26,37.67,14,38.33,14,46.33,15,40.39,14,51.33,15,47.11,15,39.39,14,right
18.56,34,20.56,43,38.33,2,81.28,46,43.33,39,33.56,19,18.78,40,36.72,24,22.78,21,17.56,24,29.06,40,28.11,3,24.22,3,39.72,24,stop
32.89,42,22.06,13,11.72,6,-5.06,4,29.39,15,17.83,20,15.56,20,13.67,6,19.33,6,25.44,5,16.67,5,21.56,5,31.22,5,12.72,42,right
23.22,16,27.50,8,22.50,10,110.50,44,32.50,18,34.33,43,16.67,36,29.33,41,32.89,26,34.72,13,47.39,13,46.50,27,53.06,13,14.39,22,forward
5.28,1,6.33,6,-0.67,2,80.94,43,15.11,7,35.50,43,7.00,1,-5.39,0,-0.17,43,-10.39,6,-7.17,36,-8.94,0,-6.39,0,6.72,0,forward
45.72,30,20.94,31,58.83,30,49.22,46,14.56,45,15.83,24,9.44,27,33.83,31,33.28,30,26.50,30,38.00,30,44.06,30,39.72,30,31.89,30,stop
